name,categoria,calories,protein,carbs,fat,fiber,sugar,sodium,n_productos
Aceite De Oliva Virgen Extra,ACEITES Y GRASAS,830.8,0.0,0.0,92.3,0.0,0.0,0.0,749
Tomate Triturado,VEGETALES Y FRUTAS,20.0,1.0,3.8,0.0,1.1,2.5,15.4,323
Pan De Viena,MASAS Y PANADERÍA,281.2,7.2,52.0,4.4,2.0,4.6,381.0,193
Tomates Pelados Peritas Enteros Comunes,VEGETALES Y FRUTAS,19.2,1.0,3.5,0.1,0.8,3.0,24.6,175
Duraznos Amarillos En Mitades Comunes En Jarabe Diluido,VEGETALES Y FRUTAS,62.9,0.5,15.0,0.0,0.9,12.9,10.0,165
Azucar Comun Tipo A,AZÚCARES Y EDULCORANTES,400.0,0.0,100.0,0.0,0.0,100.0,0.0,155
Palmitos En Trozos,VEGETALES Y FRUTAS,30.0,2.0,5.0,0.0,2.0,1.2,260.0,147
Granos De Choclo Amarillo Enteros,VEGETALES Y FRUTAS,66.2,2.9,12.0,1.5,2.9,2.5,216.2,145
Pimientos Morrones Enteros Comunes,VEGETALES Y FRUTAS,24.0,0.8,4.8,0.0,1.2,2.6,240.0,141
Yerba Mate Elaborada Con Palo,TÉ E INFUSIONES,42.0,1.6,9.6,0.0,1.2,1.8,14.0,132
Pan,MASAS Y PANADERÍA,276.0,7.8,50.0,3.5,2.0,4.1,356.0,130
Miel,CONFITURAS Y DULCES,330.0,0.5,80.0,0.0,0.0,80.0,0.0,120
Ananas En Rodajas Comunes,VEGETALES Y FRUTAS,84.3,0.4,20.7,0.0,0.7,20.0,0.0,115
Chocolate Amargo,CACAO Y CHOCOLATE,563.2,9.6,34.8,44.0,11.6,27.2,0.0,102
Palmitos Enteros,VEGETALES Y FRUTAS,26.0,2.0,4.0,0.0,1.8,1.2,264.0,100
Salsa A Base De Tomate,SALSAS Y ADEREZOS,41.7,1.4,7.8,1.2,1.5,4.5,210.0,99
Snacks,GALLETITAS Y BARRAS,516.0,6.0,60.0,28.4,0.8,40.0,516.0,98
Palmitos En Rodajas,VEGETALES Y FRUTAS,30.0,2.0,4.6,0.0,2.0,1.4,266.0,93
Mostaza De Mesa,SALSAS Y ADEREZOS,133.3,6.7,8.3,7.5,4.2,2.9,1504.2,92
Papas Prefritas Supercongeladas,VEGETALES Y FRUTAS,135.3,2.4,22.4,3.9,2.5,0.0,30.6,89
Mermelada De Durazno,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,0.0,60.0,0.0,86
Pure De Tomates,VEGETALES Y FRUTAS,31.7,1.3,6.2,0.0,1.3,4.2,28.3,85
Champignones Enteros,HONGOS,16.0,2.0,1.6,0.0,1.6,0.0,250.0,77
Snack,GALLETITAS Y BARRAS,512.0,6.0,56.0,28.8,2.8,1.6,648.0,77
Ananas En Trozos Comunes,VEGETALES Y FRUTAS,82.9,0.4,20.7,0.0,0.7,20.0,0.0,76
Dulce De Membrillo,CONFITURAS Y DULCES,283.8,0.0,70.0,0.0,2.0,57.5,15.0,74
Duraznos Amarillos En Trozos Comunes En Jarabe Diluido,VEGETALES Y FRUTAS,62.1,0.5,15.0,0.0,0.8,11.8,9.3,73
Pan Rallado,MASAS Y PANADERÍA,330.0,9.3,66.7,2.3,2.7,0.0,411.7,71
Chocolate Con Leche,CACAO Y CHOCOLATE,552.7,7.5,56.0,33.2,2.4,52.0,88.0,70
Mermelada De Frutilla,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,1.2,60.0,0.0,70
Aceitunas Verdes En Salmuera,VEGETALES Y FRUTAS,170.0,1.0,5.5,15.0,2.5,1.0,2080.0,69
Pan Tipo Viena,MASAS Y PANADERÍA,338.0,8.2,66.0,4.8,2.6,5.7,384.0,69
Peras En Mitades Comunes En Jarabe Diluido,VEGETALES Y FRUTAS,64.3,0.4,15.7,0.0,1.1,12.1,8.6,69
Pan De Sandwich,MASAS Y PANADERÍA,286.0,8.3,61.8,2.5,2.6,0.3,438.0,68
Champignones En Trozos,HONGOS,16.0,2.0,1.6,0.0,1.6,0.0,250.0,63
Coctel De Cuatro Frutas Grado Comun En Jarabe Diluido,VEGETALES Y FRUTAS,64.3,0.4,15.7,0.0,1.1,12.9,10.0,63
Palmitos,VEGETALES Y FRUTAS,30.8,2.0,4.6,0.6,2.0,1.4,240.0,61
Pan Lacteado,MASAS Y PANADERÍA,272.0,8.0,50.0,3.8,2.0,4.3,388.0,60
Mermelada De Ciruela,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,0.2,60.0,0.0,59
Arvejas Secas Remojadas,VEGETALES Y FRUTAS,92.3,6.3,15.4,0.6,5.1,1.1,71.5,58
Avena Arrollada,CEREALES Y HARINAS,357.1,13.7,56.7,7.7,10.3,0.7,0.0,56
Mermelada De Damasco,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,0.0,60.0,0.0,54
Pulpa De Tomate,VEGETALES Y FRUTAS,21.7,0.8,4.3,0.0,0.8,3.0,31.7,53
Fideos Secos,PASTAS,347.5,11.2,71.2,1.1,3.0,2.4,10.0,53
Chorizo Fresco,CARNES Y CHACINADOS,312.0,16.9,1.4,26.0,0.0,0.0,783.0,52
Morcilla,CARNES Y CHACINADOS,222.5,15.2,7.0,16.0,0.0,0.0,690.0,48
Ketchup,SALSAS Y ADEREZOS,116.7,1.2,26.7,0.0,0.8,21.7,908.3,48
Tapas Para Empanadas,MASAS Y PANADERÍA,323.3,6.7,50.0,10.7,2.2,0.0,360.0,48
Tomates Pelados Cubeteados,VEGETALES Y FRUTAS,20.0,1.0,3.5,0.0,0.8,2.6,25.4,47
Aceite De Oliva Extra Virgen,ACEITES Y GRASAS,830.8,0.0,0.0,92.3,0.0,0.0,0.0,47
Aceitunas Verdes En Rodajas En Salmuera,VEGETALES Y FRUTAS,150.0,0.5,2.8,15.5,2.5,0.0,2040.0,46
Pure De Tomate,VEGETALES Y FRUTAS,30.0,1.3,5.5,0.0,1.0,4.2,36.7,46
Pan Con Salvado,MASAS Y PANADERÍA,251.0,7.5,47.0,2.7,4.4,2.2,274.0,46
Aceitunas Verdes Descarozadas En Salmuera,VEGETALES Y FRUTAS,145.0,0.5,5.0,12.5,2.5,0.5,1965.0,45
