rnpa,name,marca,categoria,unidad,calories,protein,carbs,fat,fat_sat,fat_trans,fiber,sugar,sodium,provincia
03-060722,ACEITE DE OLIVA VIRGEN EXTRA A GRANEL (SM),SM,ACEITES Y GRASAS,ml,900.0,0.0,0.0,100.0,16.92,0.0,0.0,0.0,0.0,Datos Alimentos Catamarca 03
03-060721,ACEITE DE OLIVA VIRGEN A GRANEL,,ACEITES Y GRASAS,ml,,,,,,,,,,Datos Alimentos Catamarca 03
03-060720,NUEZ SIN CÁSCARA EN CUARTOS (FINCA LA FLORIDA-NUTS),FINCA LA FLORIDA-NUTS,VEGETALES Y FRUTAS,g,700.0,15.0,5.0,65.0,5.0,,5.0,,0.0,Datos Alimentos Catamarca 03
03-060719,NUEZ SIN CÁSCARA MARIPOSA (FINCA LA FLORIDA-NUTS),FINCA LA FLORIDA-NUTS,VEGETALES Y FRUTAS,g,,,,,,,,,,Datos Alimentos Catamarca 03
03-060718,NUEZ SIN CÁSCARA EN CUARTOS (FINCA LA FLORIDA-NUTS),FINCA LA FLORIDA-NUTS,VEGETALES Y FRUTAS,g,700.0,15.0,5.0,65.0,5.0,,5.0,,0.0,Datos Alimentos Catamarca 03
03-060717,NUEZ CON CáSCARA (FINCA LA FLORIDA),FINCA LA FLORIDA,VEGETALES Y FRUTAS,g,350.0,7.5,2.5,32.5,2.5,,2.5,,0.0,Datos Alimentos Catamarca 03
03-060716,NUEZ SIN CÁSCARA MARIPOSA (FINCA LA FLORIDA- NUTS),FINCA LA FLORIDA- NUTS,VEGETALES Y FRUTAS,g,700.0,15.0,5.0,65.0,5.0,,5.0,,0.0,Datos Alimentos Catamarca 03
03-060715,"PASTILLA DE GOMA FANTASÍA SABOR A TUTTI FRUTTI RECUBIERTAS CON CARAMELOS DUROS ÁCIDOS SABORES A UVA, MANZANA, LIMÓN, NARANJA Y FRUTILLA (MOGUL EXTREME)",MOGUL EXTREME,CARAMELOS Y GOLOSINAS,g,350.57,0.0,86.21,0.0,0.0,0.0,0.0,68.97,0.0,Datos Alimentos Catamarca 03
03-060714,PASAS DE UVA EN GRANO - SELECCIÓN SUPERIOR (ANDRES GIMENEZ ROMANO),ANDRES GIMENEZ ROMANO,VEGETALES Y FRUTAS,g,,,,,,,,,,Datos Alimentos Catamarca 03
03-060713,POLVO PARA PREPARAR BEBIDA ANALCOHOLICA ARTIFICIAL DIETETICA DE BAJAS CALORIAS ADICIONADA CON VITAMINA C SABOR A MULTIFRUTA (ARCOR),ARCOR,BEBIDAS ANALCOHÓLICAS,g,,,84.62,,,,,,430.77,Datos Alimentos Catamarca 03
03-060712,AJIES DESPUNTADOS  EN VINAGRE DE ALCOHOL (CASTELL),CASTELL,VEGETALES Y FRUTAS,g,24.0,1.2,3.6,0.0,0.0,0.0,1.6,0.0,1400.0,Datos Alimentos Catamarca 03
03-060711,POLVO PARA PREPARAR BEBIDA ANALCOHOLICA ARTIFICIAL DIETETICA DE BAJAS CALORIAS ADICIONADA CON VITAMINA C SABOR A LIMONADA (ARCOR),ARCOR,BEBIDAS ANALCOHÓLICAS,g,,,84.62,,,,,,276.92,Datos Alimentos Catamarca 03
03-060710,POLVO PARA PREPARAR BEBIDA ANALCOHOLICA ARTIFICIAL DIETETICA DE BAJAS CALORIAS ADICIONADA CON VITAMINA C SABOR A MANZANA (ARCOR),ARCOR,BEBIDAS ANALCOHÓLICAS,g,,,84.62,,,,,,446.15,Datos Alimentos Catamarca 03
03-060709,POLVO PARA PREPARAR BEBIDA ANALCOHOLICA ARTIFICIAL DIETETICA DE BAJAS CALORIAS ADICIONADA CON VITAMINA C SABOR A NARANJA (ARCOR),ARCOR,BEBIDAS ANALCOHÓLICAS,g,,,,,,,,,315.38,Datos Alimentos Catamarca 03
03-060708,ACEITUNAS NEGRAS EN SALMUERA (VALLE VIEJO S.A.),VALLE VIEJO S.A.,VEGETALES Y FRUTAS,g,203.5,,,21.5,4.0,,2.5,,1495.0,Datos Alimentos Catamarca 03
03-060707,BATATA  EN ALMIBAR CON VAINILLINA (CUESTA DEL PORTEZUELO),CUESTA DEL PORTEZUELO,CONFITURAS Y DULCES,g,189.0,0.3,47.0,,,,0.7,42.0,2.7,Datos Alimentos Catamarca 03
03-060706,PASTILLAS DE GOMA FANTASÍA RELLENAS SABOR A FRAMBUESA Y FRUTILLA (MOGUL),MOGUL,CARAMELOS Y GOLOSINAS,g,323.33,4.0,76.67,0.0,0.0,0.0,0.0,50.0,33.33,Datos Alimentos Catamarca 03
03-060705,CONSERVA DE AJIES TROCEADOS CONDIMENTADOS EN ACEITE DE GIRASOL (WAIDATT),WAIDATT,VEGETALES Y FRUTAS,g,154.0,1.0,2.2,15.0,1.8,0.0,1.0,,580.0,Datos Alimentos Catamarca 03
03-060704,PIMIENTOS CONDIMENTADOS  EN ACEITE DE GIRASOL (WAIDATT),WAIDATT,VEGETALES Y FRUTAS,g,164.0,1.0,3.6,16.0,2.0,0.0,1.2,3.0,600.0,Datos Alimentos Catamarca 03
03-060703,ACEITUNAS VERDES EN SALMUERA (VALLE VIEJO S.A.),VALLE VIEJO S.A.,VEGETALES Y FRUTAS,g,254.0,,,26.0,5.0,,5.0,,1495.0,Datos Alimentos Catamarca 03
03-060702,ACEITUNAS VERDES DESCAROZADAS EN SALMUERA (VALLE VIEJO S.A.),VALLE VIEJO S.A.,VEGETALES Y FRUTAS,g,221.5,,,23.5,3.5,,2.5,,1495.0,Datos Alimentos Catamarca 03
