name,categoria,calories,protein,carbs,fat,fiber,source
Nalga,Carnes y Pescados,106,22.0,0.0,1.7,0.0,argenfood_unlu
Asado de tira,Carnes y Pescados,170,18.4,0.0,10.7,0.0,argenfood_unlu
Bife de chorizo,Carnes y Pescados,190,21.0,0.0,12.0,0.0,argenfood_unlu
Cuadril,Carnes y Pescados,111,21.0,0.0,3.0,0.0,argenfood_unlu
Paleta,Carnes y Pescados,125,19.0,0.0,5.5,0.0,argenfood_unlu
Carne picada magra,Carnes y Pescados,120,21.0,0.0,4.0,0.0,argenfood_unlu
Carne picada,Carnes y Pescados,155,19.5,0.0,8.0,0.0,argenfood_unlu
Lomo de cerdo,Carnes y Pescados,182,27.0,0.0,8.0,0.0,basico
Costilla de cerdo,Carnes y Pescados,277,22.0,0.0,21.0,0.0,basico
Pechuga de pollo,Carnes y Pescados,165,31.0,0.0,3.6,0.0,basico
Muslo de pollo,Carnes y Pescados,209,26.0,0.0,11.0,0.0,basico
Pollo entero,Carnes y Pescados,215,18.0,0.0,15.0,0.0,basico
Ala de pollo,Carnes y Pescados,203,19.0,0.0,14.0,0.0,basico
Pata de pollo,Carnes y Pescados,216,22.0,0.0,14.0,0.0,basico
Atún fresco,Carnes y Pescados,144,23.0,0.0,5.0,0.0,basico
Atún al agua (lata),Carnes y Pescados,116,26.0,0.0,1.0,0.0,basico
Atún en aceite (lata),Carnes y Pescados,198,25.0,0.0,11.0,0.0,basico
Salmón,Carnes y Pescados,208,20.0,0.0,13.0,0.0,basico
Merluza,Carnes y Pescados,82,17.0,0.0,1.2,0.0,basico
Trucha,Carnes y Pescados,148,21.0,0.0,7.0,0.0,basico
Tilapia,Carnes y Pescados,96,20.0,0.0,2.0,0.0,basico
Langostinos,Carnes y Pescados,85,18.0,0.0,1.0,0.0,basico
Huevo entero,Huevos y Lácteos,155,13.0,1.1,11.0,0.0,basico
Clara de huevo,Huevos y Lácteos,52,11.0,0.7,0.2,0.0,basico
Yema de huevo,Huevos y Lácteos,322,16.0,3.6,27.0,0.0,basico
Leche entera,Huevos y Lácteos,61,3.2,4.8,3.3,0.0,basico
Leche descremada,Huevos y Lácteos,35,3.5,5.0,0.1,0.0,basico
Leche semidescremada,Huevos y Lácteos,46,3.4,4.9,1.5,0.0,basico
Yogur natural entero,Huevos y Lácteos,61,3.5,4.7,3.3,0.0,basico
Yogur natural descremado,Huevos y Lácteos,56,5.7,7.7,0.4,0.0,basico
Crema de leche,Huevos y Lácteos,345,2.1,2.8,37.0,0.0,basico
Ricota,Huevos y Lácteos,174,11.0,3.0,13.0,0.0,basico
Queso cremoso,Huevos y Lácteos,330,22.0,2.0,26.0,0.0,basico
Queso cuartirolo,Huevos y Lácteos,264,18.0,2.0,21.0,0.0,basico
Queso parmesano rallado,Huevos y Lácteos,431,38.0,4.0,29.0,0.0,basico
Queso mozzarella,Huevos y Lácteos,280,22.0,2.2,22.0,0.0,basico
Queso por salut,Huevos y Lácteos,352,27.0,1.0,27.0,0.0,basico
Arroz blanco (crudo),Cereales y Harinas,365,7.1,80.0,0.7,1.3,basico
Arroz integral (crudo),Cereales y Harinas,370,8.0,77.0,3.0,3.5,basico
Arroz blanco (cocido),Cereales y Harinas,130,2.7,28.0,0.3,0.4,basico
Arroz integral (cocido),Cereales y Harinas,123,2.7,26.0,1.0,1.8,basico
Avena,Cereales y Harinas,389,17.0,66.0,7.0,10.0,basico
Harina 000,Cereales y Harinas,364,10.0,76.0,1.0,2.7,basico
Harina 0000,Cereales y Harinas,364,9.0,77.0,0.9,2.2,basico
Harina integral,Cereales y Harinas,340,13.0,68.0,2.5,10.0,basico
Fideos secos,Cereales y Harinas,371,13.0,74.0,1.5,2.7,basico
Fideos cocidos,Cereales y Harinas,158,5.8,31.0,0.9,1.8,basico
Pan lactal,Cereales y Harinas,265,9.0,49.0,3.2,2.7,basico
Pan integral,Cereales y Harinas,247,13.0,41.0,4.2,6.0,basico
Pan francés,Cereales y Harinas,274,9.0,53.0,2.8,2.3,basico
Quinoa (cocida),Cereales y Harinas,120,4.4,22.0,1.9,2.8,basico
Quinoa (cruda),Cereales y Harinas,368,14.0,64.0,6.0,7.0,basico
Lenteja (cruda),Legumbres,352,25.0,60.0,1.1,10.7,basico
Lenteja (cocida),Legumbres,116,9.0,20.0,0.4,7.9,basico
Garbanzo (crudo),Legumbres,364,19.0,61.0,6.0,17.0,basico
Garbanzo (cocido),Legumbres,164,8.9,27.0,2.6,7.6,basico
Poroto negro (crudo),Legumbres,341,22.0,63.0,1.4,15.5,basico
Poroto negro (cocido),Legumbres,132,8.9,24.0,0.5,8.7,basico
Poroto rojo (cocido),Legumbres,127,8.7,23.0,0.5,6.4,basico
Soja (cocida),Legumbres,173,17.0,10.0,9.0,6.0,basico
Papa,Verduras y Hortalizas,77,2.0,17.0,0.1,2.2,basico
Papa hervida,Verduras y Hortalizas,86,1.9,20.0,0.1,1.8,basico
Batata,Verduras y Hortalizas,86,1.6,20.0,0.1,3.0,basico
